epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,179.344,1.63884,0.89778,0.99722,0.32999,0.000174999,0.000174999,0.000174999
2,362.415,0.52111,0.94889,0.99944,0.17241,0.000343396,0.000343396,0.000343396
